         2956369 function calls (2901761 primitive calls) in 9.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.016    0.002 environment.py:486(_tokenize)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
       34    0.000    0.000    0.000    0.000 six.py:93(__init__)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        8    0.000    0.000    0.059    0.007 environment.py:457(_parse)
       32    0.000    0.000    0.000    0.000 sre_parse.py:84(closegroup)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        8    0.000    0.000    0.066    0.008 compiler.py:55(generate)
       71    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.002    0.002 difflib.py:29(<module>)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
       58    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       41    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        1    0.000    0.000    0.000    0.000 core.py:2574(MaskedArray)
        8    0.000    0.000    0.043    0.005 parser.py:891(parse)
       10    0.000    0.000    0.001    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 __init__.py:23(Markup)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        8    0.000    0.000    0.000    0.000 compiler.py:366(__init__)
       21    0.000    0.000    0.000    0.000 numerictypes.py:217(_evalname)
        8    0.000    0.000    0.000    0.000 environment.py:908(from_code)
        1    0.000    0.000    0.000    0.000 ssl.py:56(<module>)
        1    0.000    0.000    0.000    0.000 {nt.putenv}
        5    0.000    0.000    0.000    0.000 compiler.py:1394(visit_Tuple)
       53    0.000    0.000    0.000    0.000 {method 'join' of 'unicode' objects}
       63    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _compat.py:10(<module>)
        8    0.000    0.000    0.000    0.000 loaders.py:22(split_template_path)
        1    0.000    0.000    0.000    0.000 utf_8.py:8(<module>)
       47    0.000    0.000    0.000    0.000 compiler.py:128(is_declared)
       20    0.000    0.000    0.000    0.000 compiler.py:104(__init__)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
        8    0.000    0.000    0.000    0.000 {method 'splitlines' of 'unicode' objects}
        7    0.000    0.000    0.000    0.000 {map}
       71    0.000    0.000    0.000    0.000 {globals}
       20    0.000    0.000    0.000    0.000 compiler.py:572(pull_locals)
        8    0.000    0.000    0.016    0.002 parser.py:29(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
        1    0.000    0.000    0.000    0.000 Border.py:1(<module>)
       35    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
       21    0.000    0.000    0.000    0.000 ntpath.py:203(dirname)
        8    0.000    0.000    0.000    0.000 environment.py:931(_from_namespace)
        1    0.000    0.000    0.000    0.000 numerictypes.py:456(_set_array_types)
       27    0.000    0.000    0.000    0.000 lexer.py:134(<genexpr>)
        9    0.000    0.000    0.001    0.000 extras.py:243(getdoc)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        2    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 Range.py:11(Range)
       23    0.000    0.000    0.002    0.000 core.py:5928(__init__)
       12    0.000    0.000    0.000    0.000 compiler.py:201(find_shadowed)
        3    0.000    0.000    0.003    0.001 warnings.py:45(filterwarnings)
       18    0.000    0.000    0.000    0.000 __init__.py:167(make_wrapper)
        8    0.000    0.000    0.013    0.002 lexer.py:381(get_lexer)
       59    0.000    0.000    0.000    0.000 {callable}
       36    0.000    0.000    0.000    0.000 parser.py:673(parse_filter_expr)
       19    0.000    0.000    0.000    0.000 ntpath.py:55(isabs)
        8    0.000    0.000    0.143    0.018 environment.py:770(get_template)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        3    0.000    0.000    0.002    0.001 copy.py:253(_deepcopy_dict)
        8    0.000    0.000    0.001    0.000 {method 'decode' of 'str' objects}
       43    0.000    0.000    0.000    0.000 six.py:80(__init__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 environment.py:103(Environment)
        8    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
       50    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
       15    0.000    0.000    0.000    0.000 copy.py:226(_deepcopy_list)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:336(exec_)
       26    0.000    0.000    0.000    0.000 lexer.py:135(<lambda>)
